Subject,Group,TimeOnWhite,RiskAssessment,ErraticSwimming,Freezing,Thigmotaxis,Speed
A1,CTRL,776,0,22.44433,0,66.9733,7.023154
A2,CTRL,22,9,17.45446,0,0,9.263864
A3,CTRL,424,9,23.74321,0,0.02287,6.576742
A4,CTRL,275,0,17.89253,0,0.12981,7.945905
A5,CTRL,543,0,21.52951,0,31.7598,7.610086
A6,CTRL,0,0,0,0,0,0
A7,CTRL,192,0,18.30351,0,17.8828,10.29396
A8,CTRL,0,10,0,0,0,0
A9,CTRL,650,7,24.01491,0,5.94431,9.185714
A10,CTRL,638,0,26.91503,76.267,12.4765,6.759684
A11,CTRL,63,6,25.02726,0,2.1492,14.21494
A12,CTRL,154.4937,7,20.81385,0,1.21041,10.50395
B1,DPAT,0,10,0,0,0,0
B2,DPAT,49.2,10,22.63734,0,10.1867,3.676303
B3,DPAT,143,27,31.34301,0,0.31958,12.46452
B4,DPAT,49,55,25.45106,0,77.26939,7.00797
B5,DPAT,34.16065,21,17.70018,0,40.10169,4.750344
B6,DPAT,0,5,0,0,0,0
B7,DPAT,0,18,0,0,0,0
B8,DPAT,67.4,0,19.9005,0,46.0593,4.808963
B9,DPAT,574,6,21.1554,0,41.7778,10.61379
B10,DPAT,0,1,0,0,0,0
B11,DPAT,25.0157,6,22.16608,0,155.7781,5.724728
B12,DPAT,57,15,20.76651,112.565,1.02631,5.783989
