"Drug","Time on white (s)","Entries on white (n)","Risk assessment (n)","Erratic swimming (n)","Thigmotaxis"
"VEH",253.06384990877507,16,12,0,14.6849884307417
"VEH",576.4683939783142,1,0,0,15.1905086755902
"VEH",186.51991093983267,35,1,0,16.9262857432566
"VEH",1.9636693103092284,17,2,1,10.5380488957251
"VEH",207.86122094976463,16,5,0,14.8160577823433
"VEH",382.28470083561086,23,7,0,10.4974518972831
"VEH",190.08100253203955,40,0,0,13.9454413930425
"VEH",857.0412465405227,18,1,1,11.1747488126149
"VEH",225.6024559989507,21,4,0,10.009022237071
"VEH",207.50013097026755,28,3,0,10.2805323093347
"VEH",812.0550340189287,18,8,0,9.96150708794416
"VEH",56.229880012520766,11,1,0,15.4274053743393
"VEH",139.015,3,0,1,14.9346565858073
"VEH",398.609,14,9,0,11.714107203973
"VEH",667.021,25,1,0,12.1179649814681
"VEH",286.198,26,5,0,9.59906897557077
"VEH",246.86,2,7,1,14.8396067904397
"VEH",797.581,9,4,0,9.92558068941354
"RS-102221",0.0,31,0,0,5.09390871139412
"RS-102221",637.983,0,2,0,13.0802886815658
"RS-102221",337.952,46,8,0,18.3740409431046
"RS-102221",0.0,21,1,1,16.4199781816433
"RS-102221",889.647,0,0,0,7.08069467768345
"RS-102221",713.769,1,0,0,8.3120381395162
"RS-102221",148.324348125971,4,0,1,17.9439513255676
"RS-102221",149.21195085820239,22,2,2,12.1983868921079
"RS-102221",210.1305413029478,29,4,1,14.2823212187658
"RS-102221",448.19716609948466,13,3,1,8.09014569756883
"RS-102221",174.81146055507656,7,5,2,18.2696452422724
"RS-102221",327.6014892682015,39,2,3,16.7579266581901
"RS-102221",618.7150210542186,14,3,0,6.67395369685433
"RS-102221",698.084917533916,7,5,0,13.3602497150597
"RS-102221",65.98424424475252,4,4,0,15.4178999049224
"RS-102221",473.9352383584885,59,0,0,10.4564370338979
"RS-102221",399.58723943848327,24,6,1,6.92441642094852
"RS-102221",340.3360067087022,46,2,1,7.86866023729336
"MK-212",0.0,0,27,0,13.8811981188097
"MK-212",84.839,15,0,2,19.09787244028
"MK-212",0.0,1,25,0,24.8678455374923
"MK-212",173.715,0,9,0,11.9702704912156
"MK-212",189.735,10,0,5,12.7850070684234
"MK-212",0.0,1,3,0,19.754652849255
"MK-212",5.336,6,23,0,28.2821999715002
"MK-212",222.83134280712687,8,0,2,20.5670796080331
"MK-212",24.593827363812153,3,13,0,12.9513706463983
"MK-212",344.99691757811047,43,29,2,29.2055430606577
"MK-212",114.0096885262619,17,8,0,19.1082181437314
"MK-212",111.732045124874,10,9,2,27.2187535514661
"MK-212",241.0854921188179,16,23,0,28.5253978270106
"MK-212",136.25340717656155,9,9,1,16.9858739615419
"MK-212",341.6441372634423,17,10,0,19.9980752295312
"MK-212",65.89256947364122,26,0,2,10.4599956989314
"MK-212",190.98569822042532,12,10,0,30.7704931219511
"MK-212",338.0892119139283,17,19,0,11.9184713495587
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
